mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
12025;2;20240100011863;2;2;14;1;8;1;1;6;2625.5511289;70.30745246
12025;2;20240100012058;2;2;12;9;4;1;1;6;1323.0001297;1584.3200774
12025;2;20240100012190;8;1;7;16;1;1;3;6;234.78770926;3329.420013
12025;2;20240100012801;2;2;3;4;1;1;2;6;420.0590072;98.106046768
12025;2;20240100013915;8;1;1;9;2;1;3;6;581.28322685;631.20285238
12025;2;20240100014099;2;3;4;1;49;3;1;6;3629.4242765;116.62764542
12025;2;20240100014100;2;3;4;10;98;3;1;6;9478.9237298;130.00885413
12025;2;20240100014101;8;3;4;6;1;1;2;6;475.45645344;238.77557936
12025;2;20240100014102;2;3;4;1;35;2;1;6;4843.9528358;262.29242629
12025;2;20240100014103;2;3;4;9;6;1;1;6;2049.4107544;63.113796917
12025;2;20240100014106;2;3;4;1;30;3;3;6;4210.255476;64.116598198
12025;2;20240100014590;2;1;8;1;18;1;1;6;2165.9819387;266.39152146
12025;2;20240100015293;2;1;7;1;1;3;2;6;87.873904236;745.33177153
12025;2;20240100015334;2;1;1;1;35;2;1;6;2364.9187047;2084.5134932
12025;2;20240100015897;2;2;12;13;57;3;3;6;4281.9091525;405.73898739
12025;2;20240100016542;2;2;15;9;3;1;1;6;2618.1763892;699.94907934
12025;2;20240100016661;8;1;7;7;1;1;3;6;134.03313647;2922.0403271
12025;2;20240100018468;2;2;5;4;14;2;2;6;1638.3832368;761.16836965
12025;2;20240100018580;2;2;5;4;4;1;1;6;853.39759706;138.05145163
12025;2;20240100019156;2;1;7;16;4;1;3;6;839.45075866;771.56768123
12025;2;20240100019188;8;3;5;11;13;3;3;6;1234.4786881;98.552697683
12025;2;20240100019190;8;3;4;1;22;2;1;6;2712.79766;13.047609981
12025;2;20240100019191;8;3;5;4;12;3;1;6;1126.9910562;54.437757158
12025;2;20240100019192;8;3;1;7;14;3;2;6;2134.2284264;27.168242826
12025;2;20240100019193;2;3;12;9;7;3;3;6;1723.69056;77.000360278
12025;2;20240100019194;2;3;5;13;12;3;3;6;1315.8045374;155.11482956
12025;2;20240100019195;8;3;5;14;24;3;1;6;1977.8008911;86.970456716
12025;2;20240100019196;2;3;5;9;1;1;2;6;630.64414882;260.38893402
12025;2;20240100020427;2;2;3;10;21;3;3;6;1230.6681346;103.77751173
12025;2;20240100020432;2;2;3;10;3;1;1;6;708.37974859;467.44360967
12025;2;20240100020433;2;2;3;10;15;3;3;6;1110.7538267;103.77751173
12025;2;20240100020435;2;2;3;10;15;3;1;6;1110.7538267;389.81013396
12025;2;20240100020437;2;2;2;10;6;3;1;6;1000.3232916;425.03066301
12025;2;20240100020439;2;2;9;10;10;3;3;6;927.74533717;172.77266096
12025;2;20240100020440;2;2;9;10;5;1;3;1;1299.3919502;363.06041957
12025;2;20240100020511;2;2;3;10;3;3;3;6;446.43258388;103.77751173
